Invoice ID,City,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating,Customer_type
549-59-1358,North,Male,Low Carb,88.63,3,13.2945,279.1845,2/3/2021,17:36,Ewallet,265.89,4.761904762,13.2945,6,Member
227-03-5010,North,Female,Low Carb,52.59,8,21.036,441.756,22/3/2021,19:20,Credit card,420.72,4.761904762,21.036,8.5,Member
649-29-6775,North,Male,Low Carb,33.52,1,1.676,35.196,8/2/2021,15:31,Cash,33.52,4.761904762,1.676,6.7,Member
189-17-4241,North,Female,Low Carb,87.67,2,8.767,184.107,10/3/2021,12:17,Credit card,175.34,4.761904762,8.767,7.7,Member
145-94-9061,North,Female,Low Carb,88.36,5,22.09,463.89,25/1/2021,19:48,Cash,441.8,4.761904762,22.09,9.6,Member
848-62-7243,North,Male,Low Carb,24.89,9,11.2005,235.2105,15/3/2021,15:36,Cash,224.01,4.761904762,11.2005,7.4,Member
871-79-8483,North,Male,Low Carb,94.13,5,23.5325,494.1825,25/2/2021,19:39,Credit card,470.65,4.761904762,23.5325,4.8,Member
149-71-6266,North,Male,Low Carb,78.07,9,35.1315,737.7615,28/1/2021,12:43,Cash,702.63,4.761904762,35.1315,4.5,Member
640-49-2076,North,Male,Low Carb,83.78,8,33.512,703.752,10/1/2021,14:49,Cash,670.24,4.761904762,33.512,5.1,Member
595-11-5460,North,Male,Low Carb,96.58,2,9.658,202.818,15/3/2021,10:12,Credit card,193.16,4.761904762,9.658,5.1,Member
183-56-6882,North,Female,Low Carb,99.42,4,19.884,417.564,6/2/2021,10:42,Ewallet,397.68,4.761904762,19.884,7.5,Member
232-16-2483,South,Female,Low Carb,68.12,1,3.406,71.526,7/1/2021,12:28,Ewallet,68.12,4.761904762,3.406,6.8,Member
129-29-8530,South,Male,Low Carb,62.62,5,15.655,328.755,10/3/2021,19:15,Ewallet,313.1,4.761904762,15.655,7,Member
272-65-1806,South,Female,Low Carb,60.88,9,27.396,575.316,15/1/2021,17:17,Ewallet,547.92,4.761904762,27.396,4.7,Member
333-73-7901,South,Female,Low Carb,54.92,8,21.968,461.328,23/3/2021,13:24,Ewallet,439.36,4.761904762,21.968,7.6,Member
777-82-7220,South,Male,Low Carb,30.12,8,12.048,253.008,3/3/2021,13:01,Cash,240.96,4.761904762,12.048,7.7,Member
280-35-5823,South,Female,Low Carb,86.72,1,4.336,91.056,17/1/2021,18:45,Ewallet,86.72,4.761904762,4.336,7.9,Member
554-53-8700,South,Male,Low Carb,56.11,2,5.611,117.831,2/2/2021,10:11,Cash,112.22,4.761904762,5.611,6.3,Member
354-25-5821,South,Female,Low Carb,69.12,6,20.736,435.456,8/2/2021,13:03,Cash,414.72,4.761904762,20.736,5.6,Member
228-96-1411,South,Female,Low Carb,98.7,8,39.48,829.08,4/3/2021,20:39,Cash,789.6,4.761904762,39.48,7.6,Member
617-15-4209,South,Male,Low Carb,15.37,2,1.537,32.277,16/3/2021,19:47,Cash,30.74,4.761904762,1.537,7.2,Member
132-32-9879,South,Female,Low Carb,93.96,4,18.792,394.632,9/3/2021,18:00,Cash,375.84,4.761904762,18.792,9.5,Member
370-41-7321,South,Male,Low Carb,56.69,9,25.5105,535.7205,27/2/2021,17:24,Credit card,510.21,4.761904762,25.5105,8.4,Member
727-46-3608,South,Female,Low Carb,20.01,9,9.0045,189.0945,6/2/2021,15:47,Ewallet,180.09,4.761904762,9.0045,4.1,Member
669-54-1719,South,Male,Low Carb,18.93,6,5.679,119.259,10/2/2021,12:45,Credit card,113.58,4.761904762,5.679,8.1,Member
574-22-5561,South,Female,Low Carb,82.63,10,41.315,867.615,19/3/2021,17:08,Ewallet,826.3,4.761904762,41.315,7.9,Member
326-78-5178,South,Male,Low Carb,91.4,7,31.99,671.79,3/2/2021,10:19,Cash,639.8,4.761904762,31.99,9.5,Member
162-48-8011,South,Female,Low Carb,44.59,5,11.1475,234.0975,10/2/2021,15:10,Cash,222.95,4.761904762,11.1475,8.5,Member
616-24-2851,South,Female,Low Carb,17.87,4,3.574,75.054,22/3/2021,14:42,Ewallet,71.48,4.761904762,3.574,6.5,Member
778-71-5554,South,Male,Low Carb,15.43,1,0.7715,16.2015,25/1/2021,15:46,Credit card,15.43,4.761904762,0.7715,6.1,Member
242-55-6721,South,Male,Low Carb,16.16,2,1.616,33.936,7/3/2021,11:49,Ewallet,32.32,4.761904762,1.616,6.5,Member
399-46-5918,South,Female,Low Carb,85.98,8,34.392,722.232,28/2/2021,19:01,Cash,687.84,4.761904762,34.392,8.2,Member
106-35-6779,South,Male,Low Carb,44.34,2,4.434,93.114,27/3/2021,11:26,Cash,88.68,4.761904762,4.434,5.8,Member
635-40-6220,South,Male,Low Carb,89.6,8,35.84,752.64,7/2/2021,11:28,Ewallet,716.8,4.761904762,35.84,6.6,Member
817-48-8732,South,Female,Low Carb,72.35,10,36.175,759.675,20/1/2021,15:55,Cash,723.5,4.761904762,36.175,5.4,Member
120-06-4233,South,Male,Low Carb,30.61,6,9.183,192.843,12/3/2021,20:36,Cash,183.66,4.761904762,9.183,9.3,Member
285-68-5083,South,Female,Low Carb,24.74,3,3.711,77.931,15/2/2021,17:47,Credit card,74.22,4.761904762,3.711,10,Member
803-83-5989,South,Male,Low Carb,55.73,6,16.719,351.099,24/2/2021,10:55,Ewallet,334.38,4.761904762,16.719,7,Member
347-34-2234,South,Female,Low Carb,55.07,9,24.7815,520.4115,3/2/2021,13:40,Ewallet,495.63,4.761904762,24.7815,10,Member
199-75-8169,South,Male,Low Carb,15.81,10,7.905,166.005,6/3/2021,12:27,Credit card,158.1,4.761904762,7.905,8.6,Member
853-23-2453,South,Male,Low Carb,75.74,4,15.148,318.108,14/2/2021,14:35,Cash,302.96,4.761904762,15.148,7.6,Member
877-22-3308,South,Male,Low Carb,15.87,10,7.935,166.635,13/3/2021,16:40,Cash,158.7,4.761904762,7.935,5.8,Member
838-78-4295,South,Female,Low Carb,33.47,2,3.347,70.287,10/2/2021,15:43,Ewallet,66.94,4.761904762,3.347,6.7,Member
109-28-2512,South,Female,Low Carb,97.61,6,29.283,614.943,7/1/2021,15:01,Ewallet,585.66,4.761904762,29.283,9.9,Member
232-11-3025,South,Male,Low Carb,78.77,10,39.385,827.085,24/1/2021,10:04,Cash,787.7,4.761904762,39.385,6.4,Member
382-03-4532,South,Female,Low Carb,18.33,1,0.9165,19.2465,2/2/2021,18:50,Cash,18.33,4.761904762,0.9165,4.3,Member
393-65-2792,South,Male,Low Carb,89.48,10,44.74,939.54,6/1/2021,12:46,Credit card,894.8,4.761904762,44.74,9.6,Member
796-12-2025,South,Male,Low Carb,62.12,10,31.06,652.26,11/2/2021,16:19,Cash,621.2,4.761904762,31.06,5.9,Member
510-95-6347,South,Female,Low Carb,48.52,3,7.278,152.838,5/3/2021,18:17,Ewallet,145.56,4.761904762,7.278,4,Member
841-35-6630,South,Female,Low Carb,75.91,6,22.773,478.233,9/3/2021,18:21,Cash,455.46,4.761904762,22.773,8.7,Member
287-21-9091,South,Male,Low Carb,74.67,9,33.6015,705.6315,22/1/2021,10:55,Ewallet,672.03,4.761904762,33.6015,9.4,Member
732-94-0499,South,Female,Low Carb,41.65,10,20.825,437.325,13/1/2021,17:04,Credit card,416.5,4.761904762,20.825,5.4,Member
263-10-3913,South,Male,Low Carb,49.04,9,22.068,463.428,9/1/2021,14:20,Credit card,441.36,4.761904762,22.068,8.6,Member
381-20-0914,South,Female,Low Carb,20.01,9,9.0045,189.0945,12/1/2021,15:48,Credit card,180.09,4.761904762,9.0045,5.7,Member
829-49-1914,South,Female,Low Carb,78.31,10,39.155,822.255,5/3/2021,16:24,Ewallet,783.1,4.761904762,39.155,6.6,Member
756-01-7507,South,Female,Low Carb,20.38,5,5.095,106.995,22/1/2021,18:56,Cash,101.9,4.761904762,5.095,6,Member
870-72-4431,South,Female,Low Carb,99.19,6,29.757,624.897,21/1/2021,14:42,Credit card,595.14,4.761904762,29.757,5.5,Member
847-38-7188,South,Female,Low Carb,96.68,3,14.502,304.542,26/1/2021,19:56,Ewallet,290.04,4.761904762,14.502,6.4,Member
480-63-2856,South,Male,Low Carb,19.25,8,7.7,161.7,23/1/2021,18:37,Ewallet,154,4.761904762,7.7,6.6,Member
787-56-0757,South,Female,Low Carb,80.36,4,16.072,337.512,23/2/2021,18:45,Credit card,321.44,4.761904762,16.072,8.3,Member
360-39-5055,South,Male,Low Carb,48.91,5,12.2275,256.7775,9/3/2021,10:17,Cash,244.55,4.761904762,12.2275,6.6,Member
730-50-9884,South,Female,Low Carb,83.06,7,29.071,610.491,5/3/2021,14:31,Ewallet,581.42,4.761904762,29.071,4,Member
362-58-8315,South,Male,Low Carb,76.52,5,19.13,401.73,25/3/2021,10:23,Cash,382.6,4.761904762,19.13,9.9,Member
633-44-8566,South,Male,Low Carb,49.38,7,17.283,362.943,27/3/2021,20:35,Credit card,345.66,4.761904762,17.283,7.3,Member
504-35-8843,South,Male,Low Carb,42.47,1,2.1235,44.5935,2/1/2021,16:57,Cash,42.47,4.761904762,2.1235,5.7,Member
318-68-5053,South,Female,Low Carb,76.99,6,23.097,485.037,27/2/2021,17:55,Cash,461.94,4.761904762,23.097,6.1,Member
565-80-5980,South,Female,Low Carb,47.38,4,9.476,198.996,23/1/2021,10:25,Cash,189.52,4.761904762,9.476,7.1,Member
225-32-0908,South,Female,Low Carb,44.86,10,22.43,471.03,26/1/2021,19:54,Ewallet,448.6,4.761904762,22.43,8.2,Member
873-51-0671,South,Female,Low Carb,21.98,7,7.693,161.553,10/1/2021,16:42,Ewallet,153.86,4.761904762,7.693,5.1,Member
152-08-9985,South,Male,Low Carb,64.36,9,28.962,608.202,12/3/2021,12:09,Credit card,579.24,4.761904762,28.962,8.6,Member
512-91-0811,South,Male,Low Carb,89.75,1,4.4875,94.2375,6/2/2021,20:05,Credit card,89.75,4.761904762,4.4875,6.6,Member
594-34-4444,South,Male,Low Carb,97.16,1,4.858,102.018,8/3/2021,20:38,Ewallet,97.16,4.761904762,4.858,7.2,Member
766-85-7061,South,Male,Low Carb,87.87,10,43.935,922.635,29/3/2021,10:25,Ewallet,878.7,4.761904762,43.935,5.1,Member
871-39-9221,South,Female,Low Carb,12.45,6,3.735,78.435,9/2/2021,13:11,Cash,74.7,4.761904762,3.735,4.1,Member
865-92-6136,South,Male,Low Carb,52.75,3,7.9125,166.1625,23/3/2021,10:16,Ewallet,158.25,4.761904762,7.9125,9.3,Member
733-01-9107,South,Male,Low Carb,82.7,6,24.81,521.01,5/3/2021,18:14,Cash,496.2,4.761904762,24.81,7.4,Member
163-56-7055,South,Male,Low Carb,48.71,1,2.4355,51.1455,26/3/2021,19:20,Cash,48.71,4.761904762,2.4355,4.1,Member
189-98-2939,South,Male,Low Carb,78.55,9,35.3475,742.2975,1/3/2021,13:22,Cash,706.95,4.761904762,35.3475,7.2,Member
551-21-3069,South,Female,Low Carb,23.07,9,10.3815,218.0115,1/2/2021,11:27,Cash,207.63,4.761904762,10.3815,4.9,Member
212-62-1842,South,Male,Low Carb,58.26,6,17.478,367.038,28/3/2021,16:44,Cash,349.56,4.761904762,17.478,9.9,Member
716-39-1409,South,Male,Low Carb,30.35,7,10.6225,223.0725,19/3/2021,18:19,Cash,212.45,4.761904762,10.6225,8,Member
704-48-3927,South,Male,Low Carb,88.67,10,44.335,931.035,12/1/2021,14:50,Ewallet,886.7,4.761904762,44.335,7.3,Member
628-34-3388,South,Male,Low Carb,27.38,6,8.214,172.494,5/1/2021,20:54,Credit card,164.28,4.761904762,8.214,7.9,Member
630-74-5166,South,Male,Low Carb,62.13,6,18.639,391.419,22/3/2021,20:19,Cash,372.78,4.761904762,18.639,7.4,Member
588-01-7461,South,Female,Low Carb,33.98,9,15.291,321.111,24/3/2021,10:43,Cash,305.82,4.761904762,15.291,4.2,Member
861-77-0145,South,Male,Low Carb,81.97,10,40.985,860.685,3/3/2021,14:30,Cash,819.7,4.761904762,40.985,9.2,Member
479-26-8945,South,Female,Low Carb,16.49,2,1.649,34.629,5/2/2021,11:32,Ewallet,32.98,4.761904762,1.649,4.6,Member
210-67-5886,South,Female,Low Carb,98.21,3,14.7315,309.3615,5/2/2021,10:41,Credit card,294.63,4.761904762,14.7315,7.8,Member
227-78-1148,South,Female,Low Carb,72.84,7,25.494,535.374,15/2/2021,12:44,Cash,509.88,4.761904762,25.494,8.4,Member
645-44-1170,South,Male,Low Carb,58.07,9,26.1315,548.7615,19/1/2021,20:07,Ewallet,522.63,4.761904762,26.1315,4.3,Member
237-01-6122,South,Female,Low Carb,80.79,9,36.3555,763.4655,1/2/2021,20:31,Credit card,727.11,4.761904762,36.3555,9.5,Member
225-98-1496,South,Female,Low Carb,27.02,3,4.053,85.113,2/3/2021,13:01,Credit card,81.06,4.761904762,4.053,7.1,Member
291-32-1427,South,Male,Low Carb,21.94,5,5.485,115.185,5/3/2021,12:29,Ewallet,109.7,4.761904762,5.485,5.3,Member
659-65-8956,South,Male,Low Carb,51.36,1,2.568,53.928,16/1/2021,15:26,Ewallet,51.36,4.761904762,2.568,5.2,Member
642-32-2990,South,Female,Low Carb,10.96,10,5.48,115.08,2/2/2021,20:48,Ewallet,109.6,4.761904762,5.48,6,Member
378-24-2715,South,Male,Low Carb,53.44,2,5.344,112.224,20/1/2021,20:38,Ewallet,106.88,4.761904762,5.344,4.1,Member
638-60-7125,South,Female,Low Carb,99.56,8,39.824,836.304,14/2/2021,17:03,Credit card,796.48,4.761904762,39.824,5.2,Member
659-36-1684,South,Male,Low Carb,57.12,7,19.992,419.832,12/1/2021,12:02,Credit card,399.84,4.761904762,19.992,6.5,Member
219-22-9386,South,Male,Low Carb,99.96,9,44.982,944.622,9/3/2021,17:26,Credit card,899.64,4.761904762,44.982,4.2,Member
336-78-2147,South,Male,Low Carb,63.91,8,25.564,536.844,13/3/2021,19:52,Credit card,511.28,4.761904762,25.564,4.6,Member
268-27-6179,South,Female,Low Carb,56.47,8,22.588,474.348,9/3/2021,14:57,Ewallet,451.76,4.761904762,22.588,7.3,Member
668-90-8900,South,Female,Low Carb,93.69,7,32.7915,688.6215,10/3/2021,18:44,Credit card,655.83,4.761904762,32.7915,4.5,Member
870-54-3162,South,Female,Low Carb,32.25,5,8.0625,169.3125,27/1/2021,13:26,Cash,161.25,4.761904762,8.0625,9,Member
189-08-9157,South,Female,Low Carb,31.73,9,14.2785,299.8485,8/1/2021,16:17,Credit card,285.57,4.761904762,14.2785,5.9,Member
663-86-9076,South,Female,Low Carb,68.54,8,27.416,575.736,8/1/2021,15:57,Ewallet,548.32,4.761904762,27.416,8.5,Member
549-84-7482,South,Female,Low Carb,90.28,9,40.626,853.146,8/2/2021,11:15,Ewallet,812.52,4.761904762,40.626,7.2,Member
191-10-6171,South,Female,Low Carb,39.62,7,13.867,291.207,25/1/2021,13:18,Cash,277.34,4.761904762,13.867,7.5,Member
802-70-5316,South,Female,Low Carb,92.13,6,27.639,580.419,6/3/2021,20:34,Cash,552.78,4.761904762,27.639,8.3,Member
695-51-0018,South,Female,Low Carb,34.84,4,6.968,146.328,10/2/2021,18:36,Cash,139.36,4.761904762,6.968,7.4,Member
590-83-4591,South,Male,Low Carb,87.45,6,26.235,550.935,17/2/2021,14:40,Credit card,524.7,4.761904762,26.235,8.8,Member
483-71-1164,South,Female,Low Carb,81.3,6,24.39,512.19,8/3/2021,16:43,Ewallet,487.8,4.761904762,24.39,5.3,Member
597-78-7908,South,Male,Low Carb,90.22,3,13.533,284.193,18/2/2021,19:39,Cash,270.66,4.761904762,13.533,6.2,Member
700-81-1757,South,Female,Low Carb,26.31,5,6.5775,138.1275,18/1/2021,20:59,Credit card,131.55,4.761904762,6.5775,8.8,Member
354-39-5160,South,Female,Low Carb,34.42,6,10.326,216.846,18/2/2021,15:39,Cash,206.52,4.761904762,10.326,9.8,Member
241-72-9525,South,Male,Low Carb,51.91,10,25.955,545.055,16/2/2021,12:21,Cash,519.1,4.761904762,25.955,8.2,Member
575-30-8091,South,Male,Low Carb,72.5,8,29,609,16/3/2021,19:25,Ewallet,580,4.761904762,29,9.2,Member
731-81-9469,South,Female,Low Carb,89.8,10,44.9,942.9,23/1/2021,13:00,Credit card,898,4.761904762,44.9,5.4,Member
280-17-4359,South,Male,Low Carb,90.5,10,45.25,950.25,25/1/2021,13:48,Cash,905,4.761904762,45.25,8.1,Member
338-65-2210,South,Female,Low Carb,68.6,10,34.3,720.3,5/2/2021,19:57,Cash,686,4.761904762,34.3,9.1,Member
488-25-4221,South,Female,Low Carb,30.41,1,1.5205,31.9305,22/2/2021,10:36,Credit card,30.41,4.761904762,1.5205,8.4,Member
239-10-7476,South,Female,Low Carb,77.95,6,23.385,491.085,21/1/2021,16:37,Ewallet,467.7,4.761904762,23.385,8,Member
458-41-1477,South,Female,Low Carb,46.26,6,13.878,291.438,8/3/2021,17:11,Credit card,277.56,4.761904762,13.878,9.5,Member
685-64-1609,South,Female,Low Carb,30.14,10,15.07,316.47,10/2/2021,12:28,Ewallet,301.4,4.761904762,15.07,9.2,Member
568-90-5112,South,Male,Low Carb,66.14,4,13.228,277.788,19/3/2021,12:46,Credit card,264.56,4.761904762,13.228,5.6,Member
262-47-2794,South,Male,Low Carb,71.86,8,28.744,603.624,6/3/2021,15:07,Credit card,574.88,4.761904762,28.744,6.2,Member
238-49-0436,South,Male,Low Carb,32.46,8,12.984,272.664,27/3/2021,13:48,Credit card,259.68,4.761904762,12.984,4.9,Member
608-96-3517,South,Female,Low Carb,91.54,4,18.308,384.468,23/3/2021,19:20,Credit card,366.16,4.761904762,18.308,4.8,Member
584-86-7256,South,Male,Low Carb,34.56,7,12.096,254.016,11/3/2021,16:07,Credit card,241.92,4.761904762,12.096,7.3,Member
746-94-0204,South,Male,Low Carb,83.24,9,37.458,786.618,29/1/2021,11:56,Credit card,749.16,4.761904762,37.458,7.4,Member
214-17-6927,South,Female,Low Carb,16.48,6,4.944,103.824,7/2/2021,18:23,Ewallet,98.88,4.761904762,4.944,9.9,Member
400-89-4171,South,Female,Low Carb,80.97,8,32.388,680.148,28/1/2021,13:05,Cash,647.76,4.761904762,32.388,9.3,Member
782-95-9291,South,Male,Low Carb,92.29,5,23.0725,484.5225,20/2/2021,15:55,Credit card,461.45,4.761904762,23.0725,9,Member
279-74-2924,South,Male,Low Carb,72.17,1,3.6085,75.7785,4/1/2021,19:40,Cash,72.17,4.761904762,3.6085,6.1,Member
307-85-2293,South,Male,Low Carb,50.28,5,12.57,263.97,7/3/2021,13:58,Ewallet,251.4,4.761904762,12.57,9.7,Member
743-04-1105,South,Male,Low Carb,97.22,9,43.749,918.729,30/3/2021,14:43,Ewallet,874.98,4.761904762,43.749,6,Member
423-57-2993,South,Male,Low Carb,93.39,6,28.017,588.357,27/3/2021,19:18,Ewallet,560.34,4.761904762,28.017,10,Member
894-41-5205,South,Female,Low Carb,43.18,8,17.272,362.712,19/1/2021,19:39,Credit card,345.44,4.761904762,17.272,8.3,Member
275-28-0149,South,Male,Low Carb,63.69,1,3.1845,66.8745,25/2/2021,16:21,Cash,63.69,4.761904762,3.1845,6,Member
101-17-6199,South,Male,Low Carb,45.79,7,16.0265,336.5565,13/3/2021,19:44,Credit card,320.53,4.761904762,16.0265,7,Member
423-80-0988,South,Male,Low Carb,76.4,2,7.64,160.44,30/1/2021,19:42,Ewallet,152.8,4.761904762,7.64,6.5,Member
548-46-9322,South,Male,Low Carb,39.9,10,19.95,418.95,20/2/2021,15:24,Credit card,399,4.761904762,19.95,5.9,Member
505-02-0892,South,Male,Low Carb,42.57,8,17.028,357.588,25/2/2021,14:12,Ewallet,340.56,4.761904762,17.028,5.6,Member
234-65-2137,South,Male,Low Carb,95.58,10,47.79,1003.59,16/1/2021,13:32,Cash,955.8,4.761904762,47.79,4.8,Member
687-47-8271,South,Male,Low Carb,98.98,10,49.49,1039.29,8/2/2021,16:20,Credit card,989.8,4.761904762,49.49,8.7,Member
796-32-9050,South,Male,Low Carb,51.28,6,15.384,323.064,19/1/2021,16:31,Cash,307.68,4.761904762,15.384,6.5,Member
105-31-1824,South,Male,Low Carb,69.52,7,24.332,510.972,1/2/2021,15:10,Credit card,486.64,4.761904762,24.332,8.5,Member
249-42-3782,South,Male,Low Carb,70.01,5,17.5025,367.5525,3/1/2021,11:36,Ewallet,350.05,4.761904762,17.5025,5.5,Member
316-55-4634,South,Male,Low Carb,80.05,5,20.0125,420.2625,26/1/2021,12:45,Credit card,400.25,4.761904762,20.0125,9.4,Member
733-33-4967,South,Male,Low Carb,20.85,8,8.34,175.14,3/3/2021,19:17,Cash,166.8,4.761904762,8.34,6.3,Member
608-27-6295,South,Male,Low Carb,52.89,6,15.867,333.207,19/1/2021,17:34,Credit card,317.34,4.761904762,15.867,9.8,Member
414-12-7047,South,Male,Muscle Building,19.79,8,7.916,166.236,18/1/2021,12:04,Ewallet,158.32,4.761904762,7.916,8.7,Member
827-26-2100,South,Male,Muscle Building,33.84,9,15.228,319.788,21/3/2021,16:21,Ewallet,304.56,4.761904762,15.228,8.8,Member
175-54-2529,South,Male,Muscle Building,22.17,8,8.868,186.228,3/3/2021,17:01,Credit card,177.36,4.761904762,8.868,9.6,Member
139-52-2867,South,Female,Muscle Building,22.51,7,7.8785,165.4485,13/2/2021,10:50,Credit card,157.57,4.761904762,7.8785,4.8,Member
407-63-8975,South,Male,Muscle Building,73.88,6,22.164,465.444,23/3/2021,19:16,Ewallet,443.28,4.761904762,22.164,4.4,Member
342-65-4817,South,Male,Muscle Building,86.8,3,13.02,273.42,28/1/2021,16:47,Ewallet,260.4,4.761904762,13.02,9.9,Member
130-98-8941,South,Male,Muscle Building,64.26,7,22.491,472.311,9/2/2021,10:00,Cash,449.82,4.761904762,22.491,5.7,Member
434-83-9547,South,Male,Muscle Building,38.47,8,15.388,323.148,23/1/2021,11:51,Cash,307.76,4.761904762,15.388,7.7,Member
851-28-6367,South,Male,Muscle Building,15.5,10,7.75,162.75,23/3/2021,10:55,Ewallet,155,4.761904762,7.75,8,Member
824-88-3614,South,Male,Muscle Building,34.31,8,13.724,288.204,25/1/2021,15:00,Ewallet,274.48,4.761904762,13.724,5.7,Member
586-25-0848,South,Female,Muscle Building,12.34,7,4.319,90.699,4/3/2021,11:19,Credit card,86.38,4.761904762,4.319,6.7,Member
895-66-0685,South,Male,Muscle Building,18.08,3,2.712,56.952,5/3/2021,19:46,Ewallet,54.24,4.761904762,2.712,8,Member
305-14-0245,South,Female,Muscle Building,94.49,8,37.796,793.716,3/3/2021,19:00,Ewallet,755.92,4.761904762,37.796,7.5,Member
732-04-5373,South,Male,Muscle Building,46.47,4,9.294,195.174,8/2/2021,10:53,Cash,185.88,4.761904762,9.294,7,Member
400-60-7251,South,Male,Muscle Building,74.07,1,3.7035,77.7735,10/2/2021,12:50,Ewallet,74.07,4.761904762,3.7035,9.9,Member
593-65-1552,East,Female,Muscle Building,69.81,4,13.962,293.202,28/1/2021,20:50,Credit card,279.24,4.761904762,13.962,5.9,Member
284-34-9626,East,Female,Muscle Building,77.04,3,11.556,242.676,11/2/2021,10:39,Credit card,231.12,4.761904762,11.556,7.2,Member
437-58-8131,East,Female,Muscle Building,73.52,2,7.352,154.392,15/1/2021,13:41,Ewallet,147.04,4.761904762,7.352,4.6,Member
286-43-6208,East,Female,Muscle Building,87.8,9,39.51,829.71,16/3/2021,19:08,Cash,790.2,4.761904762,39.51,9.2,Member
641-43-2399,East,Male,Muscle Building,25.55,4,5.11,107.31,26/1/2021,20:23,Ewallet,102.2,4.761904762,5.11,5.7,Member
831-07-6050,East,Male,Muscle Building,32.71,5,8.1775,171.7275,19/3/2021,11:30,Credit card,163.55,4.761904762,8.1775,9.9,Member
556-86-3144,East,Female,Muscle Building,74.29,1,3.7145,78.0045,13/1/2021,19:30,Cash,74.29,4.761904762,3.7145,5,Member
848-24-9445,East,Male,Muscle Building,43.7,2,4.37,91.77,26/3/2021,18:03,Cash,87.4,4.761904762,4.37,4.9,Member
856-22-8149,East,Female,Muscle Building,25.29,1,1.2645,26.5545,23/3/2021,10:13,Ewallet,25.29,4.761904762,1.2645,6.1,Member
699-01-4164,East,Male,Muscle Building,41.5,4,8.3,174.3,12/3/2021,19:58,Credit card,166,4.761904762,8.3,8.2,Member
